user_id,day_type,work_hours,screen_time_hours,meetings_count,breaks_taken,after_hours_work,sleep_hours,task_completion_rate,burnout_score,burnout_risk,productivity_index,work_intensity
1,Weekday,9.59,11.86,4,2,No,7.55,91.2,19.17,Low,9.50990615224192,15.86
1,Weekend,7.38,10.33,4,1,No,6.69,82.0,29.7,Low,11.11111111111111,14.33
1,Weekend,6.31,8.92,1,2,No,8.87,80.6,32.93,Low,12.77337559429477,9.92
1,Weekday,8.34,10.7,4,1,Yes,8.13,70.0,45.47,Low,8.393285371702637,14.7
1,Weekend,6.97,9.83,1,2,No,5.85,67.1,51.61,Low,9.626972740315638,10.83
1,Weekday,7.24,9.09,1,4,No,7.53,69.1,54.16,Low,9.544198895027623,10.09
1,Weekday,8.09,11.64,6,3,Yes,5.04,58.4,68.83,Low,7.218788627935723,17.64
1,Weekday,7.15,9.98,3,4,No,5.89,46.9,78.89,Medium,6.559440559440559,12.98
1,Weekday,8.72,11.8,1,2,No,6.19,49.8,84.39,Medium,5.711009174311926,12.8
1,Weekend,5.93,9.17,0,4,No,7.88,55.6,83.86,Medium,9.376053962900507,9.17
2,Weekend,3.0,6.81,3,5,Yes,7.49,84.2,17.37,Low,28.066666666666666,9.809999999999999
2,Weekday,7.96,11.25,3,3,No,6.23,98.3,14.76,Low,12.349246231155778,14.25
2,Weekend,5.05,7.38,0,5,No,5.76,84.5,20.89,Low,16.73267326732673,7.38
2,Weekend,3.79,6.12,3,1,Yes,5.81,90.3,20.52,Low,23.82585751978892,9.120000000000001
2,Weekend,4.69,7.09,1,5,Yes,7.92,85.8,23.1,Low,18.294243070362473,8.09
2,Weekend,3.0,5.05,0,3,Yes,7.75,85.1,23.44,Low,28.366666666666664,5.05
2,Weekday,6.49,9.6,3,1,No,7.37,79.0,28.23,Low,12.17257318952234,12.6
2,Weekday,10.04,11.83,3,3,Yes,7.6,80.7,31.62,Low,8.03784860557769,14.83
2,Weekend,3.12,5.08,0,4,No,6.65,77.3,32.6,Low,24.775641025641026,5.08
2,Weekday,6.83,8.81,7,5,No,6.03,74.4,36.7,Low,10.893118594436311,15.81
3,Weekend,4.49,6.53,2,1,No,6.21,103.0,3.78,Low,22.939866369710465,8.530000000000001
3,Weekend,5.47,8.1,2,2,Yes,7.97,92.3,9.83,Low,16.873857404021937,10.1
3,Weekday,7.71,11.12,1,1,No,7.57,86.0,14.72,Low,11.154345006485084,12.12
3,Weekday,8.94,12.85,4,2,No,6.79,84.4,19.01,Low,9.440715883668904,16.85
3,Weekday,6.99,8.58,1,5,No,6.51,90.1,18.12,Low,12.889842632331902,9.58
3,Weekday,7.69,9.7,6,4,Yes,5.3,86.7,23.36,Low,11.274382314694408,15.7
3,Weekday,10.01,13.75,3,4,No,6.51,79.3,29.98,Low,7.922077922077922,16.75
3,Weekend,3.85,7.57,1,5,No,5.49,82.8,29.12,Low,21.506493506493506,8.57
3,Weekend,4.31,7.55,3,1,No,7.3,80.8,31.2,Low,18.74709976798144,10.55
3,Weekend,5.54,8.48,2,3,No,7.79,78.6,33.26,Low,14.187725631768952,10.48
4,Weekday,9.43,12.64,3,1,No,5.32,98.4,18.66,Low,10.434782608695652,15.64
4,Weekend,3.81,7.4,2,4,Yes,8.55,89.3,24.25,Low,23.438320209973753,9.4
4,Weekend,4.6,6.58,0,4,Yes,8.06,86.4,26.79,Low,18.782608695652176,6.58
4,Weekend,5.42,7.17,1,3,No,6.76,81.1,31.26,Low,14.96309963099631,8.17
4,Weekend,5.5,9.35,2,1,No,6.85,75.0,38.22,Low,13.636363636363637,11.35
4,Weekend,3.28,5.87,1,2,No,6.59,78.3,37.68,Low,23.871951219512194,6.87
4,Weekend,4.91,8.74,0,5,No,8.54,76.1,38.86,Low,15.498981670061099,8.74
4,Weekday,9.24,11.96,2,4,No,10.06,77.9,43.47,Low,8.430735930735931,13.96
4,Weekend,6.05,7.89,1,5,Yes,5.37,59.2,55.61,Low,9.78512396694215,8.89
4,Weekday,9.01,12.18,4,1,No,6.94,56.2,66.05,Low,6.237513873473918,16.18
5,Weekday,10.73,12.33,3,4,No,7.55,83.7,19.12,Low,7.800559179869524,15.33
5,Weekend,5.59,7.2,0,1,No,6.51,93.5,17.49,Low,16.726296958855098,7.2
5,Weekend,3.78,6.39,1,1,No,5.11,80.0,24.92,Low,21.164021164021165,7.39
5,Weekend,6.54,9.05,1,3,No,7.6,86.6,24.99,Low,13.241590214067278,10.05
5,Weekday,10.0,13.71,1,5,No,5.85,77.9,34.9,Low,7.790000000000001,14.71
5,Weekend,4.09,5.96,0,5,Yes,7.15,82.5,33.75,Low,20.17114914425428,5.96
5,Weekend,3.36,5.03,2,4,No,7.07,67.6,39.77,Low,20.119047619047617,7.03
5,Weekday,6.92,9.62,1,2,No,7.04,74.3,40.78,Low,10.736994219653178,10.62
5,Weekday,8.91,12.54,5,2,Yes,7.1,71.4,50.65,Low,8.013468013468014,17.54
5,Weekend,4.74,8.49,0,5,No,8.71,60.8,54.85,Low,12.827004219409282,8.49
6,Weekend,4.78,6.56,2,3,No,7.58,97.5,8.29,Low,20.397489539748953,8.559999999999999
6,Weekday,6.12,9.64,2,2,Yes,5.87,82.9,20.43,Low,13.545751633986928,11.64
6,Weekday,8.82,11.33,4,2,No,6.64,87.3,26.64,Low,9.89795918367347,15.33
6,Weekend,4.22,7.35,2,4,No,6.31,87.3,28.52,Low,20.687203791469194,9.35
6,Weekend,5.65,7.69,2,1,No,8.07,73.8,36.97,Low,13.061946902654865,9.690000000000001
6,Weekend,3.34,5.52,0,5,No,8.28,85.1,30.66,Low,25.479041916167663,5.52
6,Weekend,4.03,6.54,0,1,No,6.73,79.6,34.08,Low,19.75186104218362,6.54
6,Weekday,9.56,11.94,3,1,No,7.66,74.5,44.12,Low,7.7928870292887025,14.94
6,Weekday,8.01,10.18,6,5,No,4.5,58.7,58.57,Low,7.328339575530587,16.18
6,Weekend,3.49,5.13,1,2,No,6.58,71.1,54.23,Low,20.372492836676216,6.13
7,Weekend,3.74,6.03,0,1,Yes,7.08,96.7,9.09,Low,25.855614973262032,6.03
7,Weekend,5.89,9.56,2,2,Yes,6.88,93.1,14.62,Low,15.806451612903226,11.56
7,Weekday,7.24,9.94,3,3,No,4.69,81.6,24.06,Low,11.270718232044198,12.94
7,Weekday,9.34,13.04,4,4,No,8.12,74.7,32.3,Low,7.997858672376874,17.04
7,Weekend,4.63,6.32,2,5,No,7.86,69.8,34.7,Low,15.075593952483802,8.32
7,Weekend,3.94,7.56,1,5,No,6.73,78.9,31.55,Low,20.0253807106599,8.559999999999999
7,Weekday,8.74,10.26,2,5,Yes,7.05,69.2,40.32,Low,7.917620137299771,12.26
7,Weekday,7.2,9.54,0,1,No,7.3,70.0,43.07,Low,9.722222222222221,9.54
7,Weekday,8.49,11.63,2,5,No,8.69,68.1,47.31,Low,8.02120141342756,13.63
7,Weekend,3.71,7.38,1,4,No,9.11,79.4,42.42,Low,21.401617250673855,8.379999999999999
8,Weekend,4.14,7.09,1,3,Yes,6.02,98.8,9.1,Low,23.864734299516908,8.09
8,Weekend,6.84,8.77,1,3,No,6.22,81.8,21.84,Low,11.95906432748538,9.77
8,Weekday,7.88,9.67,2,3,No,6.2,77.5,31.84,Low,9.83502538071066,11.67
8,Weekday,7.13,10.22,6,4,Yes,7.56,71.4,45.6,Low,10.014025245441797,16.22
8,Weekend,6.62,8.82,0,5,No,6.46,75.4,47.78,Low,11.389728096676738,8.82
8,Weekend,3.0,5.54,1,3,Yes,6.59,62.1,55.25,Low,20.7,6.54
8,Weekend,6.34,9.65,0,2,No,7.68,58.2,61.3,Low,9.17981072555205,9.65
8,Weekday,9.0,11.49,5,3,No,6.23,47.3,78.28,Medium,5.2555555555555555,16.490000000000002
8,Weekday,7.69,10.24,4,2,No,5.61,42.3,91.17,Medium,5.500650195058517,14.24
8,Weekend,3.91,7.38,0,1,Yes,5.92,40.9,96.5,Medium,10.460358056265983,7.38
9,Weekend,6.89,9.89,1,1,Yes,6.56,86.4,16.7,Low,12.53991291727141,10.89
9,Weekend,4.01,6.06,2,4,Yes,8.43,95.9,14.02,Low,23.915211970074814,8.059999999999999
9,Weekday,9.24,12.51,0,2,Yes,7.58,81.2,25.29,Low,8.787878787878787,12.51
9,Weekend,3.49,5.18,1,3,No,7.52,94.2,19.95,Low,26.991404011461317,6.18
9,Weekend,3.94,6.1,0,2,Yes,7.95,79.8,26.72,Low,20.253807106598984,6.1
9,Weekend,3.0,6.45,2,2,Yes,6.86,79.5,28.62,Low,26.5,8.45
9,Weekend,3.88,7.04,0,1,Yes,6.13,85.7,28.29,Low,22.087628865979383,7.04
9,Weekend,5.19,8.24,0,1,Yes,6.3,82.8,32.5,Low,15.953757225433524,8.24
9,Weekend,5.03,9.03,0,5,No,5.48,75.8,36.75,Low,15.069582504970178,9.03
9,Weekday,5.98,8.84,2,4,Yes,6.53,71.8,41.86,Low,12.006688963210701,10.84
10,Weekend,4.33,7.87,0,3,No,6.7,90.2,12.76,Low,20.831408775981526,7.87
10,Weekday,8.29,10.67,2,1,No,6.66,89.0,21.98,Low,10.735826296743065,12.67
10,Weekend,4.6,6.84,2,5,Yes,7.0,89.2,25.3,Low,19.39130434782609,8.84
10,Weekday,8.07,9.92,6,2,No,8.96,59.2,46.19,Low,7.335811648079306,15.92
10,Weekday,6.18,8.02,4,1,Yes,7.07,63.6,52.92,Low,10.29126213592233,12.02
10,Weekend,4.75,7.27,0,2,No,8.12,64.1,53.89,Low,13.494736842105262,7.27
10,Weekend,3.0,4.52,0,4,Yes,9.33,67.4,51.02,Low,22.46666666666667,4.52
10,Weekday,8.29,10.24,2,1,No,4.68,58.7,64.32,Low,7.080820265379977,12.24
10,Weekday,7.78,10.9,4,2,Yes,5.08,52.2,79.07,Medium,6.709511568123394,14.9
10,Weekend,5.34,8.84,1,1,No,7.61,45.7,85.6,Medium,8.558052434456929,9.84
11,Weekday,6.85,9.33,0,5,No,6.26,91.8,17.07,Low,13.401459854014599,9.33
11,Weekday,7.7,10.39,3,1,No,6.34,83.2,30.46,Low,10.805194805194805,13.39
11,Weekday,6.58,10.54,0,3,No,6.21,70.2,41.38,Low,10.668693009118542,10.54
11,Weekend,5.77,9.67,1,2,Yes,6.32,59.7,53.2,Low,10.346620450606586,10.67
11,Weekend,3.98,7.67,0,4,Yes,7.95,56.4,56.39,Low,14.170854271356784,7.67
11,Weekend,4.81,8.61,1,3,Yes,6.75,55.2,62.21,Low,11.476091476091478,9.61
11,Weekend,5.32,8.85,1,1,No,6.53,54.1,67.77,Low,10.169172932330827,9.85
11,Weekend,5.13,7.5,1,5,No,4.5,54.3,71.46,Medium,10.584795321637426,8.5
11,Weekday,8.78,10.64,0,3,No,5.97,48.7,81.87,Medium,5.546697038724374,10.64
11,Weekday,9.19,12.68,1,1,No,6.3,41.1,95.98,Medium,4.472252448313385,13.68
12,Weekday,8.16,11.7,4,1,No,5.41,85.2,22.74,Low,10.441176470588236,15.7
12,Weekend,5.08,8.75,1,4,Yes,7.91,77.7,28.95,Low,15.295275590551181,9.75
12,Weekday,7.97,11.0,5,4,No,7.18,86.3,32.82,Low,10.82810539523212,16.0
12,Weekend,5.59,8.54,2,2,No,6.54,75.1,41.39,Low,13.434704830053667,10.54
12,Weekday,8.62,12.18,3,1,No,4.6,68.5,53.76,Low,7.946635730858469,15.18
12,Weekend,3.0,5.23,2,4,No,7.5,67.4,53.8,Low,22.46666666666667,7.23
12,Weekend,3.0,5.22,0,3,No,7.75,66.7,52.84,Low,22.233333333333334,5.22
12,Weekend,5.29,8.8,1,1,No,5.85,59.8,59.74,Low,11.304347826086955,9.8
12,Weekend,3.73,5.91,1,5,No,7.63,62.1,58.22,Low,16.648793565683647,6.91
12,Weekend,3.0,4.76,0,5,Yes,6.23,59.1,59.59,Low,19.7,4.76
13,Weekday,8.88,12.02,5,4,No,9.76,80.0,22.36,Low,9.009009009009008,17.02
13,Weekday,9.22,12.23,1,3,No,5.03,75.5,30.86,Low,8.188720173535792,13.23
13,Weekday,8.74,10.66,5,2,No,5.66,77.8,37.77,Low,8.901601830663616,15.66
13,Weekend,5.06,7.74,2,3,Yes,6.82,74.4,42.75,Low,14.703557312252967,9.74
13,Weekend,5.65,8.62,2,4,No,8.45,68.9,46.89,Low,12.194690265486726,10.62
13,Weekend,3.86,7.76,1,1,No,7.42,68.3,48.63,Low,17.694300518134714,8.76
13,Weekday,7.14,10.72,2,4,No,7.55,62.0,55.11,Low,8.683473389355743,12.72
13,Weekday,10.04,13.72,1,5,No,6.38,56.3,63.82,Low,5.607569721115538,14.72
13,Weekend,4.74,6.71,2,4,Yes,7.31,65.3,62.8,Low,13.776371308016877,8.71
13,Weekend,3.0,5.08,2,4,No,6.37,63.0,63.84,Low,21.0,7.08
14,Weekend,3.0,5.17,1,5,No,4.7,88.5,11.02,Low,29.5,6.17
14,Weekend,4.24,8.15,2,5,No,7.73,94.9,9.23,Low,22.382075471698112,10.15
14,Weekend,5.05,8.5,1,2,No,4.96,91.4,13.35,Low,18.0990099009901,9.5
14,Weekday,9.76,13.69,2,2,No,7.75,83.8,22.16,Low,8.586065573770492,15.69
14,Weekday,7.53,10.9,1,2,No,6.09,86.2,25.43,Low,11.447543160690572,11.9
14,Weekday,8.03,11.08,2,4,Yes,7.24,70.7,36.54,Low,8.804483188044832,13.08
14,Weekday,7.88,10.44,3,1,Yes,7.7,68.8,42.97,Low,8.730964467005077,13.44
14,Weekend,5.13,8.16,2,1,No,7.31,69.2,45.23,Low,13.489278752436649,10.16
14,Weekend,4.08,7.27,1,3,No,6.3,75.7,43.8,Low,18.55392156862745,8.27
14,Weekend,4.4,8.24,2,3,Yes,5.68,71.7,48.61,Low,16.295454545454543,10.24
15,Weekday,8.02,11.61,4,3,Yes,7.25,82.6,25.75,Low,10.29925187032419,15.61
15,Weekend,4.71,7.84,2,3,No,7.54,78.0,30.57,Low,16.56050955414013,9.84
15,Weekday,7.56,9.28,2,5,Yes,7.79,83.4,35.76,Low,11.031746031746033,11.28
15,Weekday,8.89,11.58,7,2,No,7.9,64.0,56.49,Low,7.199100112485938,18.58
15,Weekday,8.83,12.06,2,2,Yes,6.74,49.6,74.52,Medium,5.617214043035108,14.06
15,Weekday,9.96,13.02,3,1,No,8.69,40.0,90.0,Medium,4.016064257028112,16.02
15,Weekend,5.2,8.68,2,2,No,6.15,40.0,95.41,Medium,7.692307692307692,10.68
15,Weekday,7.87,10.43,4,3,No,5.39,40.0,105.92,Medium,5.082592121982211,14.43
15,Weekday,9.05,11.45,2,3,Yes,7.09,40.0,117.35,High,4.41988950276243,13.45
15,Weekday,5.69,9.32,0,5,Yes,8.65,40.0,120.7,High,7.0298769771529,9.32
